rank,frequency,word,pos
1001,5715,静か,形状詞-一般
1002,5712,によると,助詞-格助詞
1003,5709,設ける,動詞-一般
1004,5706,愛,名詞-普通名詞-一般
1005,5701,傾向,名詞-普通名詞-一般
1006,5699,女の子,名詞-普通名詞-一般
1007,5688,能力,名詞-普通名詞-一般
1008,5667,知識,名詞-普通名詞-一般
1009,5663,成れる,動詞-一般
1010,5661,分ける,動詞-一般
1011,5659,泣く,動詞-一般
1012,5646,全部,副詞
1013,5640,奥,名詞-普通名詞-一般
1014,5639,一年,名詞-数詞
1014,5639,雰囲気,名詞-普通名詞-一般
1016,5629,辛い,形容詞-一般
1017,5618,九時,名詞-数詞
1018,5612,を通じて,助詞-格助詞
1019,5610,全国,名詞-普通名詞-一般
1020,5607,提供する,動詞-一般
1021,5600,地,名詞-普通名詞-一般
1022,5598,米国,名詞-固有名詞-地名-国
1023,5597,設定する,動詞-一般
1024,5586,於く,動詞-一般
1025,5575,答え,名詞-普通名詞-一般
1025,5575,将来,名詞-普通名詞-一般
1027,5565,設置する,動詞-一般
1028,5560,馬,名詞-普通名詞-一般
1029,5557,たらいい,助動詞
1030,5556,日,名詞-普通名詞-一般
1031,5552,訪れる,動詞-一般
1032,5549,達する,動詞-一般
1033,5542,涙,名詞-普通名詞-一般
1034,5537,一層,副詞
1035,5535,返す,動詞-一般
1036,5534,残念,形状詞-一般
1037,5525,通る,動詞-一般
1038,5519,イギリス,名詞-固有名詞-地名-国
1039,5515,敵,名詞-普通名詞-一般
1040,5505,漸と,副詞
1041,5503,周囲,名詞-普通名詞-一般
1042,5502,作業,名詞-普通名詞-一般
1043,5499,記憶,名詞-普通名詞-一般
1044,5497,施設,名詞-普通名詞-一般
1045,5496,冬,名詞-普通名詞-一般
1046,5495,急,形状詞-一般
1047,5483,利益,名詞-普通名詞-一般
1048,5463,薬,名詞-普通名詞-一般
1049,5460,いらっしゃる,動詞-一般
1050,5456,支える,動詞-一般
1051,5454,叫ぶ,動詞-一般
1051,5454,事情,名詞-普通名詞-一般
1053,5448,無料,名詞-普通名詞-一般
1054,5446,選択する,動詞-一般
1055,5438,量,名詞-普通名詞-一般
1056,5436,文化,名詞-普通名詞-一般
1057,5431,分,名詞-普通名詞-一般
1058,5422,き,助動詞
1059,5413,取り組む,動詞-一般
1060,5401,猫,名詞-普通名詞-一般
1061,5387,段階,名詞-普通名詞-一般
1062,5386,組織,名詞-普通名詞-一般
1063,5373,行く,動詞-一般
1064,5372,少なくとも,副詞
1064,5372,発表する,動詞-一般
1066,5367,重い,形容詞-一般
1067,5362,ではありません,助動詞
1068,5360,上で,助詞-接続助詞
1069,5352,料理,名詞-普通名詞-一般
1070,5350,取り敢えず,副詞
1071,5346,人気,名詞-普通名詞-一般
1072,5345,逃げる,動詞-一般
1073,5335,及ぶ,動詞-一般
1074,5334,適切,形状詞-一般
1075,5333,ええ,感動詞-一般
1075,5333,発見する,動詞-一般
1077,5332,追う,動詞-一般
1078,5324,フランス,名詞-固有名詞-地名-国
1079,5320,新聞,名詞-普通名詞-一般
1080,5316,遅い,形容詞-一般
1081,5306,購入する,動詞-一般
1082,5305,問う,動詞-一般
1083,5303,まい,助動詞
1084,5300,参考,名詞-普通名詞-一般
1085,5294,代わり,名詞-普通名詞-一般
1085,5294,関心,名詞-普通名詞-一般
1087,5289,遂に,副詞
1088,5270,ごとし,助動詞
1089,5265,連絡,名詞-普通名詞-一般
1090,5260,同,名詞-普通名詞-一般
1091,5255,あ,感動詞-一般
1092,5253,三年,名詞-数詞
1093,5250,差,名詞-普通名詞-一般
1094,5249,抱える,動詞-一般
1095,5246,自分達,名詞-普通名詞-一般
1096,5245,指摘する,動詞-一般
1097,5235,嘘,名詞-普通名詞-一般
1098,5234,期間,名詞-普通名詞-一般
1099,5229,隣り,名詞-普通名詞-一般
1100,5228,向こう,名詞-普通名詞-一般
1101,5224,基準,名詞-普通名詞-一般
1102,5221,利く,動詞-一般
1103,5217,運動,名詞-普通名詞-一般
1104,5211,判断する,動詞-一般
1105,5208,年齢,名詞-普通名詞-一般
1106,5207,明治,名詞-固有名詞-一般
1107,5200,一本,名詞-数詞
1107,5200,零,名詞-数詞
1109,5195,自ら,名詞-普通名詞-一般
1110,5191,原則,名詞-普通名詞-一般
1111,5188,用意する,動詞-一般
1112,5186,価格,名詞-普通名詞-一般
1113,5182,伸びる,動詞-一般
1114,5179,腹,名詞-普通名詞-一般
1115,5170,表現,名詞-普通名詞-一般
1116,5162,二年,名詞-数詞
1117,5160,見付かる,動詞-一般
1118,5151,システム,名詞-普通名詞-一般
1119,5149,うん,感動詞-一般
1120,5138,旅,名詞-普通名詞-一般
1121,5132,髪,名詞-普通名詞-一般
1122,5124,勤める,動詞-一般
1123,5113,費用,名詞-普通名詞-一般
1124,5099,やや,副詞
1125,5098,印象,名詞-普通名詞-一般
1125,5098,育てる,動詞-一般
1125,5098,申す,動詞-一般
1128,5097,魚,名詞-普通名詞-一般
1128,5097,特別,形状詞-一般
1130,5093,実現する,動詞-一般
1131,5092,御店,名詞-普通名詞-一般
1132,5090,が,接続詞
1133,5088,どんどん,副詞
1134,5086,森,名詞-普通名詞-一般
1135,5082,ファックス,名詞-普通名詞-一般
1136,5073,怒る,動詞-一般
1137,5072,有り得る,動詞-一般
1138,5070,如何,形状詞-一般
1139,5069,背景,名詞-普通名詞-一般
1140,5067,瞬間,名詞-普通名詞-一般
1141,5066,如何に,副詞
1142,5056,減る,動詞-一般
1143,5054,韓国,名詞-固有名詞-地名-国
1144,5053,私共,代名詞
1145,5050,注意する,動詞-一般
1146,5037,隠す,動詞-一般
1147,5034,黒い,形容詞-一般
1148,5032,固い,形容詞-一般
1149,5027,村,名詞-普通名詞-一般
1150,5026,焼く,動詞-一般
1151,5021,先程,副詞
1152,5020,姿勢,名詞-普通名詞-一般
1153,5014,其れで,接続詞
1153,5014,弱い,形容詞-一般
1155,5013,流石,副詞
1156,4996,従来,名詞-普通名詞-一般
1157,4992,側,名詞-普通名詞-一般
1158,4985,何だか,副詞
1159,4981,かしら,助詞-終助詞
1160,4980,御互い,名詞-普通名詞-一般
1161,4978,客,名詞-普通名詞-一般
1162,4969,対する,動詞-一般
1162,4969,負ける,動詞-一般
1164,4966,範囲,名詞-普通名詞-一般
1165,4964,十二,名詞-数詞
1166,4957,判断,名詞-普通名詞-一般
1167,4949,十一,名詞-数詞
1168,4940,薄い,形容詞-一般
1168,4940,御話,名詞-普通名詞-一般
1170,4935,少年,名詞-普通名詞-一般
1171,4934,動かす,動詞-一般
1171,4934,もの,助詞-終助詞
1173,4929,優れる,動詞-一般
1174,4924,登場する,動詞-一般
1175,4920,暮らす,動詞-一般
1176,4918,価値,名詞-普通名詞-一般
1177,4916,変化する,動詞-一般
1178,4899,こっち,代名詞
1179,4890,数字,名詞-普通名詞-一般
1180,4882,借りる,動詞-一般
1181,4868,文章,名詞-普通名詞-一般
1182,4864,明確,形状詞-一般
1183,4861,愛する,動詞-一般
1183,4861,こんな,形状詞-一般
1185,4859,銀行,名詞-普通名詞-一般
1185,4859,変,形状詞-一般
1187,4854,をもって,助詞-格助詞
1188,4852,街,名詞-普通名詞-一般
1189,4850,回答,名詞-普通名詞-一般
1190,4846,空気,名詞-普通名詞-一般
1191,4845,サービス,名詞-普通名詞-一般
1191,4845,増加,名詞-普通名詞-一般
1193,4843,注意,名詞-普通名詞-一般
1193,4843,仲間,名詞-普通名詞-一般
1195,4839,通う,動詞-一般
1196,4827,叩く,動詞-一般
1197,4824,着く,動詞-一般
1198,4815,扱う,動詞-一般
1199,4807,落ち着く,動詞-一般
1200,4790,きちんと,副詞
1201,4785,取り上げる,動詞-一般
1202,4782,望む,動詞-一般
1203,4779,付き合う,動詞-一般
1204,4767,減少する,動詞-一般
1204,4767,市,名詞-普通名詞-一般
1206,4765,感情,名詞-普通名詞-一般
1207,4763,皆,副詞
1208,4759,疑問,名詞-普通名詞-一般
1209,4754,戦う,動詞-一般
1210,4747,すっかり,副詞
1211,4745,努める,動詞-一般
1212,4743,日本語,名詞-普通名詞-一般
1213,4741,下さる,動詞-一般
1214,4736,生む,動詞-一般
1215,4733,一枚,名詞-数詞
1215,4733,自信,名詞-普通名詞-一般
1217,4730,流す,動詞-一般
1218,4729,生かす,動詞-一般
1219,4719,基本,名詞-普通名詞-一般
1220,4718,決定する,動詞-一般
1220,4718,主人,名詞-普通名詞-一般
1220,4718,掴む,動詞-一般
1223,4714,記す,動詞-一般
1224,4710,大体,副詞
1225,4705,暗い,形容詞-一般
1225,4705,日時,名詞-普通名詞-一般
1227,4702,床,名詞-普通名詞-一般
1228,4701,仕舞う,動詞-一般
1229,4689,ドイツ,名詞-固有名詞-地名-国
1230,4688,現状,名詞-普通名詞-一般
1230,4688,じゃ,助動詞
1230,4688,設定,名詞-普通名詞-一般
1233,4686,提出する,動詞-一般
1234,4683,御勧める,動詞-一般
1235,4681,三日,名詞-数詞
1235,4681,話題,名詞-普通名詞-一般
1237,4670,最大,名詞-普通名詞-一般
1238,4668,受け取る,動詞-一般
1239,4664,自然,形状詞-一般
1239,4664,楽しみ,名詞-普通名詞-一般
1241,4661,受け入れる,動詞-一般
1242,4658,痛み,名詞-普通名詞-一般
1243,4656,悩む,動詞-一般
1244,4654,出会う,動詞-一般
1245,4651,観点,名詞-普通名詞-一般
1246,4650,問い合わせ,名詞-普通名詞-一般
1247,4648,一定,名詞-普通名詞-一般
1247,4648,渡す,動詞-一般
1249,4647,当時,副詞
1250,4645,画像,名詞-普通名詞-一般
1250,4645,不安,名詞-普通名詞-一般
1252,4642,措置,名詞-普通名詞-一般
1253,4638,下げる,動詞-一般
1254,4637,改めて,副詞
1255,4624,食う,動詞-一般
1256,4623,側,名詞-普通名詞-一般
1257,4621,川,名詞-普通名詞-一般
1258,4615,結婚,名詞-普通名詞-一般
1259,4610,立ち上がる,動詞-一般
1260,4601,実際,副詞
1261,4596,随分,副詞
1262,4583,穴,名詞-普通名詞-一般
1263,4581,医師,名詞-普通名詞-一般
1264,4574,遠い,形容詞-一般
1265,4569,種,名詞-普通名詞-一般
1266,4563,高さ,名詞-普通名詞-一般
1267,4557,さあ,感動詞-一般
1268,4553,テーマ,名詞-普通名詞-一般
1269,4545,会場,名詞-普通名詞-一般
1270,4542,珍しい,形容詞-一般
1271,4535,意味する,動詞-一般
1272,4534,黙る,動詞-一般
1273,4533,す,動詞-一般
1274,4531,業務,名詞-普通名詞-一般
1275,4525,汗,名詞-普通名詞-一般
1275,4525,外す,動詞-一般
1277,4523,タバコ,名詞-普通名詞-一般
1277,4523,動物,名詞-普通名詞-一般
1279,4520,エネルギー,名詞-普通名詞-一般
1279,4520,仮令,副詞
1281,4517,御父さん,名詞-普通名詞-一般
1281,4517,分野,名詞-普通名詞-一般
1283,4516,水,名詞-普通名詞-一般
1284,4514,収める,動詞-一般
1285,4509,関する,動詞-一般
1286,4506,指定する,動詞-一般
1287,4505,単に,副詞
1288,4495,高める,動詞-一般
1289,4494,事項,名詞-普通名詞-一般
1290,4478,事故,名詞-普通名詞-一般
1291,4477,事態,名詞-普通名詞-一般
1292,4475,疲れる,動詞-一般
1293,4473,展開する,動詞-一般
1294,4467,視線,名詞-普通名詞-一般
1295,4465,役,名詞-普通名詞-一般
1296,4455,治療,名詞-普通名詞-一般
1297,4448,相談,名詞-普通名詞-一般
1298,4436,ですから,接続詞
1299,4435,つつある,助動詞
1300,4433,ベッド,名詞-普通名詞-一般
1301,4432,ぜ,助詞-終助詞
1302,4429,申し込み,名詞-普通名詞-一般
1303,4428,確実,形状詞-一般
1303,4428,症状,名詞-普通名詞-一般
