rank,frequency,word_hi,word_en
1,46471,में,mẽ
2,22405,है,hai
3,18164,हैं,ha͠i
4,13729,नहीं,nahī̃
5,8188,लिए,lie
6,6356,गया,gayā
7,5781,तथा,tathā
8,4745,अपने,apne
9,4399,कुछ,kuch
10,4258,साथ,sāth
11,4203,होता,hotā
12,3970,था,thā
13,3730,दिया,diyā
14,3535,हुए,hue
15,3394,कोई,koī
16,3337,रूप,rūp
17,3307,से,se
18,3249,मैं,ma͠i
19,3204,रहा,rahā
20,3092,हुआ,huā
21,2870,बात,bāt
22,2826,कहा,kahā
23,2758,समय,samay
24,2737,क्या,kyā
25,2711,अपनी,apnī
26,2659,होती,hotī
27,2583,प्रकार,prakār
28,2539,बहुत,bahut
29,2471,तरह,tarah
30,2461,बाद,bād
31,2416,फिर,phir
32,2369,रहे,rahe
33,2337,द्वारा,dvārā
34,2297,अधिक,adhik
35,2292,रही,rahī
36,2289,होने,hone
37,2222,एवं,evã
38,2213,हुई,huī
39,2147,थे,the
40,2089,उनके,unke
41,2042,थी,thī
42,1991,वाले,vāle
43,1968,चाहिए,cāhie
44,1966,दिन,din
45,1923,लेकिन,lekin
46,1865,काम,kām
47,1854,हूँ,hū̃
48,1825,होते,hote
49,1789,इसके,iske
50,1778,उन्हें,unhẽ
51,1737,गये,gaye
52,1728,कभी,kabhī
53,1718,आदि,ādi
54,1717,लोग,log
55,1689,बार,bār
56,1665,यहाँ,yahā̃
57,1606,दोनों,donõ
58,1555,उन्होंने,unhõne
59,1499,कार्य,kārya
60,1457,पास,pās
61,1449,वहाँ,vahā̃
62,1446,भारत,bhārat
63,1415,लिया,liyā
64,1406,प्राप्त,prāpt
65,1406,उनकी,unkī
66,1365,लोगों,logõ
67,1359,गयी,gayī
68,1356,लगा,lagā
69,1351,अन्य,anya
70,1349,होगा,hogā
71,1347,इसी,isī
72,1346,देश,deś
73,1335,यदि,yadi
74,1330,सभी,sabhī
75,1330,नाम,nām
76,1315,वर्ष,varṣ
77,1224,ऐसा,aisā
78,1221,विकास,vikās
79,1191,अपना,apnā
80,1183,ऐसे,aise
81,1182,दूसरे,dūsre
82,1162,हाथ,hāth
83,1162,भाषा,bhāṣā
84,1118,मेरे,mere
85,1115,मैंने,ma͠ine
86,1103,तुम,tum
87,1080,बीच,bīc
88,1045,वाली,vālī
89,1045,बड़े,baṛe
90,1043,प्रति,prati
91,1034,व्यक्ति,vyakti
92,1034,उनका,unkā
93,1029,लिये,liye
94,1025,इसलिए,islie
95,1024,तीन,tīn
96,1024,इसका,iskā
97,1013,ऐसी,aisī
98,982,विशेष,viśeṣ
99,981,बड़ी,baṛī
100,978,अथवा,athvā
101,962,भाग,bhāg
102,953,क्योंकि,kyõki
103,937,सिंह,sĩh
104,927,ठीक,ṭhīk
105,922,स्थिति,sthiti
106,915,परन्तु,parantu
107,914,स्थान,sthān
108,905,यही,yahī
109,897,क्यों,kyõ
110,894,गाँव,gā̃v
111,888,राज्य,rājya
112,881,अलग,alag
113,880,लेकर,lekar
114,876,अभी,abhī
115,864,इसमें,ismẽ
116,858,विभिन्न,vibhinn
117,856,सी,sī
118,855,विचार,vicār
119,853,जिस,jis
120,852,बाहर,bāhar
121,849,ऊपर,ūpar
122,848,बना,banā
123,839,तैयार,taiyār
124,838,अनेक,anek
125,832,सामने,sāmne
126,827,शिक्षा,śikṣā
127,825,शरीर,śarīr
128,817,होकर,hokar
129,817,दृष्टि,dŕṣṭi
130,814,श्री,śrī
131,798,थीं,thī̃
132,794,दूर,dūr
133,787,शब्द,śabd
134,782,ध्यान,dhyān
135,782,चार,cār
136,781,मेरी,merī
137,779,बड़ा,baṛā
138,761,पता,patā
139,758,लगता,lagtā
140,758,आगे,āge
141,755,किया,kiyā
142,753,उत्तर,uttar
143,747,किन्तु,kintu
144,742,आने,āne
145,736,लगे,lage
146,734,लगभग,lagbhag
147,734,इसे,ise
148,728,लाख,lākh
149,724,बारे,bāre
150,711,होना,honā
151,708,इससे,isse
152,702,मात्रा,mātrā
153,702,अध्ययन,adhyayan
154,701,वाला,vālā
155,701,जिसमें,jismẽ
156,690,नीचे,nīce
157,689,अर्थ,arth
158,687,लोक,lok
159,678,आवश्यक,āvaśyak
160,674,हो,ho
161,671,माँ,mā̃
162,669,छोटे,choṭe
163,667,प्रतिशत,pratiśat
164,665,शुरू,śurū
165,665,अगर,agar
166,661,इतना,itnā
167,657,आया,āyā
168,648,होगी,hogī
169,648,मिल,mil
170,647,स्वयं,svayã
171,646,रात,rāt
172,642,बिना,binā
173,638,हमें,hamẽ
174,633,उपयोग,upyog
175,631,किए,kie
176,625,महत्वपूर्ण,mahatvapūrṇ
177,624,मुख्य,mukhya
178,621,साल,sāl
179,620,ज्यादा,jyādā
180,614,साहित्य,sāhitya
181,607,पूर्व,pūrv
182,607,निर्माण,nirmāṇ
183,606,विषय,viṣay
184,606,जिससे,jisse
185,604,देख,dekh
186,602,चित्र,citra
187,596,लगी,lagī
188,594,प्रत्येक,pratyek
189,592,मनुष्य,manuṣya
190,591,गई,gaī
191,586,स्पष्ट,spaṣṭ
192,582,दिनों,dinõ
193,579,रंग,raṅg
194,579,इसकी,iskī
195,578,स्तर,star
196,570,मेरा,merā
197,570,दूसरी,dūsrī
198,570,अच्छा,acchā
199,568,रोग,rog
200,562,काल,kāl
201,561,अच्छी,acchī
202,557,विज्ञान,vijñān
203,557,भाई,bhāī
204,555,ज्ञान,jñān
205,554,दिल्ली,dillī
206,550,बनाने,banāne
207,547,रुपये,rupye
208,542,रखा,rakhā
209,541,आवश्यकता,āvaśyaktā
210,538,आता,ātā
211,534,कौन,kaun
212,533,हों,hõ
213,533,आर्थिक,ārthik
214,530,सहायता,sahāytā
215,528,अतिरिक्त,atirikt
216,526,देर,der
217,521,तरफ,taraph
218,516,लेने,lene
219,509,चला,calā
220,508,सामाजिक,sāmājik
221,507,समझ,samajh
222,507,मगर,magar
223,502,आते,āte
224,497,बच्चे,bacce
225,494,कला,kalā
226,491,पत्र,patra
227,478,भीतर,bhītar
228,477,संस्कृति,sanskŕti
229,473,उनमें,unmẽ
230,472,वर्ग,varg
231,470,विभाग,vibhāg
232,470,चाहता,cāhtā
233,468,सिर,sir
234,468,बताया,batāyā
235,466,जगह,jagah
236,465,वही,vahī
237,464,इतनी,itnī
238,458,स्थापित,sthāpit
239,456,राष्ट्रीय,rāṣṭrīya
240,455,स्वर,svar
241,455,क्षेत्रों,kṣetrõ
242,453,जिसके,jiske
243,451,जन्म,janma
244,449,जाए,jāe
245,448,दौरान,daurān
246,448,गांधी,gāndhī
247,444,हाँ,hā̃
248,444,जनता,jantā
249,441,किस,kis
250,441,केन्द्र,kendra
251,440,साहब,sāhab
252,439,पूर्ण,pūrṇ
253,437,पुलिस,pulis
254,435,बोला,bolā
255,433,थईआ,thaīā
256,432,कमी,kamī
257,425,समस्या,samasyā
258,425,कार्यक्रम,kāryakram
259,422,विवाह,vivāh
260,421,भूमि,bhūmi
261,420,भाव,bhāv
262,420,देखकर,dekhkar
263,419,करोड़,karoṛ
264,417,प्रथम,pratham
265,416,मूल,mūl
266,414,परिवर्तन,parivartan
267,410,बच्चों,baccõ
268,409,लाभ,lābh
269,409,प्रदान,pradān
270,409,आये,āye
271,407,छोटी,choṭī
272,402,स्त्री,strī
273,401,सेवा,sevā
274,401,व्यवहार,vyavhār
275,401,राम,rām
276,401,रचना,racnā
277,398,की,kī
278,397,भिन्न,bhinn
279,396,मिट्टी,miṭṭī
280,396,देशों,deśõ
281,396,इनके,inke
282,396,आती,ātī
283,394,सही,sahī
284,394,उपलब्ध,uplabdh
285,390,बल्कि,balki
286,389,प्राय,prāy
287,386,बिजली,bijlī
288,385,लेते,lete
289,385,जान,jān
290,381,बढ़,baṛh
291,380,सारे,sāre
292,380,शायद,śāyad
293,379,सरकारी,sarkārī
294,378,पड़,paṛ
295,378,चुका,cukā
296,376,पड़ा,paṛā
297,375,विधि,vidhi
298,375,छोड़,choṛ
299,374,लिखा,likhā
300,374,जबकि,jabki
301,373,सिर्फ,sirph
302,370,दर्शन,darśan
303,369,प्रक्रिया,prakriyā
304,368,दिखाई,dikhāī
305,368,कुल,kul
306,366,शब्दों,śabdõ
307,366,लाल,lāl
308,366,निकल,nikal
309,366,नये,naye
310,364,रखने,rakhne
311,364,पंजाब,pañjāb
312,364,नदी,nadī
313,363,गए,gae
314,361,मृत्यु,mŕtyu
315,358,स्वीकार,svīkār
316,355,अन्तरिक्ष,antarikṣ
317,354,आकर,ākar
318,353,याद,yād
319,352,उठा,uṭhā
320,351,दूध,dūdh
321,351,कांग्रेस,kāṅgres
322,350,सारी,sārī
323,349,माध्यम,mādhyam
324,349,दूसरा,dūsrā
325,348,संबंध,sambandh
326,348,जिन,jin
327,348,चाहे,cāhe
328,347,चाहते,cāhte
329,345,प्रणाली,praṇālī
330,345,तभी,tabhī
331,344,होंगे,hoṅge
332,343,इनमें,inmẽ
333,342,सन,san
334,342,मान,mān
335,341,पुत्र,putra
336,341,उद्देश्य,uddeśya
337,340,विश्वास,viśvās
338,339,पिछले,pichle
339,338,ताकि,tāki
340,337,निश्चित,niścit
341,337,जिसका,jiskā
342,336,जानकारी,jānkārī
343,335,नेता,netā
344,334,बालक,bālak
345,332,अन्त,ant
346,331,उचित,ucit
347,329,संगीत,saṅgīt
348,329,जल्दी,jaldī
349,329,क्षमता,kṣamtā
350,328,हजार,hajār
351,327,जाएगा,jāegā
352,325,बनाया,banāyā
353,325,पति,pati
354,325,कोशिश,kośiś
355,323,चुके,cuke
356,323,खाने,khāne
357,322,फसल,phasal
358,322,प्रकृति,prakŕti
359,321,पौधों,paudhõ
360,321,प्रकट,prakaṭ
361,321,पक्ष,pakṣ
362,321,नीति,nīti
363,320,यद्यपि,yadyapi
364,319,मात्र,mātra
365,319,भारी,bhārī
366,319,पुस्तकालय,pustakālay
367,319,चले,cale
368,318,समिति,samiti
369,317,सामग्री,sāmagrī
370,317,चाहिये,cāhiye
371,316,अन्तर्गत,antargat
372,315,माल,māl
373,314,शामिल,śāmil
374,312,बोली,bolī
375,312,उनसे,unse
376,312,अपेक्षा,apekṣā
377,311,हेतु,hetu
378,310,नगर,nagar
379,310,दिये,diye
380,308,सम्बन्धी,sambandhī
381,307,पुस्तक,pustak
382,307,खुद,khud
383,305,वर्णन,varṇan
384,304,बने,bane
385,304,जोर,jor
386,304,करें,karẽ
387,303,जिनमें,jinmẽ
388,302,लक्षण,lakṣaṇ
389,301,नामक,nāmak
390,300,वहीं,vahī̃
391,300,तुम्हारे,tumhāre
392,299,विश्व,viśva
393,298,शासन,śāsan
394,298,वैसे,vaise
395,298,युग,yug
396,298,बैठ,baiṭh
397,297,स्थापना,sthāpnā
398,297,अर्थात,arthāt
399,296,सारा,sārā
400,296,लेता,letā
401,296,लगती,lagtī
402,295,शैली,śailī
403,295,लें,lẽ
404,295,पार्टी,pārṭī
405,295,गीत,gīt
406,295,अवसर,avsar
407,293,युद्ध,yuddh
408,292,मालूम,mālūm
409,292,चारों,cārõ
410,291,प्रकाश,prakāś
411,290,जायेगा,jāyegā
412,289,बैठे,baiṭhe
413,289,तुम्हें,tumhẽ
414,288,समाप्त,samāpt
415,288,जाय,jāy
416,287,साफ,sāph
417,287,धार्मिक,dhārmik
418,287,ताप,tāp
419,287,उल्लेख,ullekh
420,286,वर्तमान,vartamān
421,285,लेना,lenā
422,285,थोड़ी,thoṛī
423,285,इनका,inkā
424,284,विकसित,viksit
425,283,बन्द,band
426,283,प्रसिद्ध,prasiddh
427,282,विशिष्ट,viśiṣṭ
428,282,प्रेम,prem
