rank,frequency,word,pos
2,-1,하다,동사
3,-1,있다,보조사
4,-1,있다,형용사
5,-1,되다,동사
7,-1,하다,보조사
8,-1,나,대명사
9,-1,그,관사
10,-1,없다,형용사
11,-1,않다,보조사
12,-1,사람,명사
13,-1,우리,대명사
14,-1,이,관사
15,-1,그,대명사
16,-1,아니다,형용사
17,-1,보다,동사
19,-1,때,명사
21,-1,보다,보조사
22,-1,같다,형용사
23,-1,주다,보조사
24,-1,대하다,동사
25,-1,가다,동사
27,-1,한,관사
28,-1,말,명사
29,-1,일,명사
30,-1,이,대명사
32,-1,말하다,동사
33,-1,위하다,동사
34,-1,그러나,부사
35,-1,오다,동사
36,-1,알다,동사
38,-1,그렇다,형용사
39,-1,크다,형용사
40,-1,또,부사
42,-1,사회,명사
43,-1,많다,형용사
44,-1,안,부사
45,-1,좋다,형용사
46,-1,더,부사
47,-1,받다,동사
48,-1,그것,대명사
49,-1,집,명사
50,-1,나오다,동사
51,-1,따르다,동사
52,-1,그리고,부사
53,-1,문제,명사
54,-1,그런,관사
55,-1,살다,동사
56,-1,저,대명사
57,-1,못하다,보조사
58,-1,생각하다,동사
59,-1,모르다,동사
60,-1,속,명사
61,-1,만들다,동사
63,-1,두,관사
64,-1,앞,명사
65,-1,경우,명사
67,-1,어떤,관사
68,-1,잘,부사
69,-1,그녀,대명사
70,-1,먹다,동사
71,-1,오다,보조사
72,-1,자신,명사
73,-1,문화,명사
75,-1,생각,명사
76,-1,어떻다,형용사
78,-1,통하다,동사
79,-1,그러다,동사
80,-1,소리,명사
81,-1,다시,부사
82,-1,다른,관사
83,-1,이런,관사
84,-1,여자,명사
86,-1,정도,명사
87,-1,뒤,명사
88,-1,듣다,동사
89,-1,다,부사
90,-1,좀,부사
91,-1,들다,동사
92,-1,싶다,보조사
93,-1,보이다,동사
94,-1,가지다,동사
95,-1,함께,부사
96,-1,아이,명사
97,-1,지나다,동사
98,-1,많이,부사
99,-1,시간,명사
100,-1,너,대명사
101,-1,주다,동사
102,-1,인간,명사
103,-1,사실,명사
104,-1,나다,동사
105,-1,이렇다,형용사
106,-1,어머니,명사
107,-1,눈,명사
108,-1,뭐,대명사
109,-1,점,명사
110,-1,의하다,동사
111,-1,시대,명사
112,-1,다음,명사
113,-1,이러하다,형용사
114,-1,누구,대명사
115,-1,전,명사
116,-1,곳,명사
117,-1,여러,관사
118,-1,안,명사
119,-1,하나,수사
120,-1,세계,명사
121,-1,버리다,보조사
122,-1,위,명사
123,-1,운동,명사
125,-1,학교,명사
126,-1,자기,대명사
127,-1,가장,부사
128,-1,대통령,명사
130,-1,들다,동사
131,-1,시작하다,동사
132,-1,바로,부사
133,-1,어느,관사
134,-1,그래서,부사
135,-1,무엇,대명사
136,-1,정부,명사
137,-1,모든,관사
139,-1,그거,대명사
140,-1,돈,명사
141,-1,국가,명사
142,-1,그런데,부사
143,-1,날,명사
144,-1,여기,대명사
145,-1,모두,부사
146,-1,여성,명사
147,-1,친구,명사
148,-1,마음,명사
149,-1,후,명사
150,-1,가다,보조사
151,-1,놓다,보조사
152,-1,관계,명사
153,-1,아버지,명사
154,-1,남자,명사
155,-1,어디,대명사
156,-1,몸,명사
157,-1,얼굴,명사
158,-1,들어가다,동사
159,-1,왜,부사
160,-1,나타나다,동사
161,-1,말다,보조사
162,-1,지역,명사
163,-1,다르다,형용사
164,-1,모습,명사
165,-1,물,명사
166,-1,만나다,동사
167,-1,내다,동사
168,-1,보이다,동사
169,-1,쓰다,동사
170,-1,이것,대명사
171,-1,없이,부사
172,-1,이번,명사
173,-1,길,명사
174,-1,생활,명사
175,-1,쓰다,동사
176,-1,지금,명사
178,-1,사이,명사
179,-1,방법,명사
180,-1,새롭다,형용사
181,-1,우리나라,명사
182,-1,내다,보조사
183,-1,앉다,동사
184,-1,처음,명사
185,-1,손,명사
186,-1,몇,관사
187,-1,그때,명사
188,-1,과정,명사
189,-1,삶,명사
190,-1,갖다,동사
191,-1,찾다,동사
192,-1,특히,부사
194,-1,이상,명사
195,-1,지금,부사
196,-1,나가다,동사
197,-1,이야기,명사
198,-1,교육,명사
199,-1,사다,동사
200,-1,경제,명사
201,-1,아직,부사
202,-1,잡다,동사
203,-1,같이,부사
204,-1,선생님,명사
205,-1,예술,명사
206,-1,서다,동사
207,-1,못,부사
208,-1,역사,명사
209,-1,읽다,동사
210,-1,이제,부사
211,-1,결과,명사
212,-1,내용,명사
213,-1,물론,부사
214,-1,동안,명사
215,-1,책,명사
216,-1,일어나다,동사
217,-1,당신,대명사
218,-1,시장,명사
219,-1,넣다,동사
220,-1,중요하다,형용사
221,-1,무슨,관사
222,-1,느끼다,동사
223,-1,어렵다,형용사
224,-1,힘,명사
225,-1,너무,부사
226,-1,나라,명사
227,-1,부르다,동사
228,-1,의미,명사
229,-1,자리,명사
230,-1,밝히다,동사
231,-1,죽다,동사
232,-1,이미,부사
234,-1,정치,명사
235,-1,국민,명사
236,-1,생명,명사
237,-1,얘기,명사
238,-1,학생,명사
239,-1,연구,명사
240,-1,엄마,명사
241,-1,이름,명사
242,-1,하나,명사
243,-1,내리다,동사
244,-1,사건,명사
245,-1,및,부사
246,-1,쉽다,형용사
247,-1,짓다,동사
248,-1,또한,부사
249,-1,이유,명사
250,-1,또는,부사
251,-1,필요하다,형용사
252,-1,글,명사
253,-1,생기다,동사
254,-1,사용하다,동사
255,-1,남편,명사
256,-1,들어오다,동사
257,-1,밖,명사
258,-1,세상,명사
259,-1,작다,형용사
260,-1,타다,동사
261,-1,대학,명사
262,-1,작품,명사
263,-1,상황,명사
264,-1,가운데,명사
265,-1,보내다,동사
266,-1,두다,동사
267,-1,즉,부사
268,-1,따라서,부사
269,-1,상태,명사
270,-1,이후,명사
271,-1,당시,명사
272,-1,문학,명사
273,-1,더욱,부사
274,-1,아주,부사
275,-1,지방,명사
276,-1,밤,명사
277,-1,높다,형용사
278,-1,최근,명사
280,-1,현실,명사
281,-1,환경,명사
282,-1,컴퓨터,명사
283,-1,먼저,부사
284,-1,다니다,동사
285,-1,얼마나,부사
286,-1,자체,명사
287,-1,열다,동사
288,-1,머리,명사
289,-1,묻다,동사
290,-1,남다,동사
291,-1,부분,명사
292,-1,기업,명사
293,-1,거기,대명사
294,-1,변화,명사
295,-1,아들,명사
296,-1,뜻,명사
297,-1,아,감탄사
298,-1,기다리다,동사
299,-1,떨어지다,동사
300,-1,선거,명사
301,-1,관하다,동사
303,-1,그냥,부사
304,-1,나누다,동사
305,-1,이용하다,동사
306,-1,거의,부사
307,-1,곧,부사
308,-1,중심,명사
309,-1,활동,명사
310,-1,오늘,명사
311,-1,서로,부사
312,-1,관심,명사
313,-1,역시,부사
314,-1,이거,대명사
315,-1,애,명사
316,-1,광고,명사
317,-1,나다,보조사
318,-1,방,명사
319,-1,정신,명사
320,-1,이르다,동사
321,-1,땅,명사
322,-1,이루다,동사
323,-1,아침,명사
324,-1,웃다,동사
325,-1,현상,명사
326,-1,두다,보조사
327,-1,떠나다,동사
328,-1,기술,명사
329,-1,전체,명사
330,-1,그래,감탄사
331,-1,얻다,동사
332,-1,아름답다,형용사
333,-1,끝,명사
334,-1,민족,명사
336,-1,조사,명사
338,-1,입,명사
339,-1,뭐,감탄사
340,-1,그대로,부사
341,-1,영화,명사
342,-1,필요,명사
344,-1,하늘,명사
346,-1,과학,명사
347,-1,듯하다,보조사
348,-1,자연,명사
349,-1,정말,부사
350,-1,구조,명사
352,-1,결국,명사
353,-1,밥,명사
354,-1,입다,동사
355,-1,오히려,부사
356,-1,프로그램,명사
357,-1,네,감탄사
359,-1,이루어지다,동사
360,-1,남,명사
361,-1,하루,명사
362,-1,그림,명사
365,-1,마시다,동사
366,-1,치다,동사
367,-1,혼자,명사
368,-1,나가다,보조사
370,-1,이제,명사
371,-1,교수,명사
372,-1,술,명사
373,-1,사랑,명사
374,-1,의식,명사
375,-1,전화,명사
376,-1,끝나다,동사
377,-1,돌아오다,동사
378,-1,맞다,동사
379,-1,아빠,명사
380,-1,걸리다,동사
381,-1,지키다,동사
382,-1,한번,명사
383,-1,커피,명사
384,-1,가슴,명사
386,-1,길다,형용사
387,-1,바라보다,동사
388,-1,알아보다,동사
389,-1,회사,명사
390,-1,맛,명사
391,-1,대부분,명사
392,-1,산업,명사
393,-1,매우,부사
394,-1,오르다,동사
395,-1,음식,명사
396,-1,표정,명사
397,-1,꼭,부사
398,-1,일부,명사
399,-1,요즘,명사
400,-1,계획,명사
401,-1,느낌,명사
402,-1,얼마,명사
403,-1,고개,명사
404,-1,성격,명사
405,-1,계속,부사
406,-1,세기,명사
407,-1,세우다,동사
408,-1,아내,명사
409,-1,가족,명사
411,-1,현재,부사
413,-1,세,관사
415,-1,놓다,동사
416,-1,발전,명사
417,-1,차,명사
418,-1,놀다,동사
419,-1,향하다,동사
420,-1,관련,명사
421,-1,형태,명사
422,-1,각,관사
423,-1,도시,명사
424,-1,작업,명사
425,-1,분위기,명사
426,-1,그러하다,형용사
427,-1,자기,명사
429,-1,나이,명사
430,-1,우선,부사
431,-1,믿다,동사
432,-1,바꾸다,동사
433,-1,낳다,동사
435,-1,정보,명사
436,-1,열리다,동사
438,-1,좋아하다,동사
439,-1,그리다,동사
441,-1,배우다,동사
