rank,frequency,word,word2
1,5081568,я,я
2,4334804,не,не
3,3552532,что,что
4,2953981,в,в
5,2917112,и,и
6,2723798,ты,ты
7,2640455,это,это
8,1655351,на,на
9,1509844,с,с
10,1283590,он,он
11,1214875,мы,мы
12,1174339,как,как
13,1159742,вы,вы
14,1142662,да,да
15,1077059,мне,мне
16,1055142,у,у
17,1049935,нет,нет
18,1010408,меня,меня
19,995583,так,так
20,990116,но,но
21,970725,а,а
22,752429,его,его
23,722378,все,все
24,713014,она,она
25,702607,тебя,тебя
26,695076,о,о
27,631191,если,если
28,598915,за,за
29,594884,бы,бы
30,588450,тебе,тебе
31,534808,они,они
32,479027,чтобы,чтобы
33,469511,же,же
34,450986,есть,есть
35,450715,просто,просто
36,446361,из,из
37,434512,к,к
38,427940,для,для
39,427366,ну,ну
40,421340,когда,когда
41,420527,хорошо,хорошо
42,410266,здесь,здесь
43,397721,по,по
44,393771,был,был
45,389247,знаю,знаю
46,385315,то,то
47,383956,только,только
48,373088,всё,всё
49,371183,было,было
50,357146,вас,вас
51,357142,может,может
52,351238,нас,нас
53,340913,вот,вот
54,339856,от,от
55,313741,быть,быть
56,299982,кто,кто
57,298842,будет,будет
58,295613,почему,почему
59,289733,вам,вам
60,287229,их,их
61,281777,очень,очень
62,280691,могу,могу
63,278258,уже,уже
64,273631,спасибо,спасибо
65,272568,или,или
66,269029,нам,нам
67,268978,еще,еще
68,264211,там,там
69,255361,нужно,нужно
70,254448,сейчас,сейчас
71,254081,где,где
72,253382,чем,чем
73,252103,хочу,хочу
74,248396,ничего,ничего
75,247989,этого,этого
76,237832,была,была
77,234913,мой,мой
78,232065,ее,ее
79,229994,ладно,ладно
80,228414,знаешь,знаешь
81,227298,п,п
82,221120,до,до
83,220811,этом,этом
84,218628,потому,потому
85,216086,теперь,теперь
86,205407,думаю,думаю
87,202968,больше,больше
88,201916,её,её
89,196362,со,со
90,193840,раз,раз
91,189816,ему,ему
92,189178,надо,надо
93,189069,время,время
94,184623,этот,этот
95,180914,ли,ли
96,179679,ещё,ещё
97,179122,пока,пока
98,178504,даже,даже
99,177992,привет,привет
100,174338,сказал,сказал
101,172907,себя,себя
102,169695,должен,должен
103,167958,тоже,тоже
104,166264,хочешь,хочешь
105,165828,давай,давай
106,162833,что-то,что-то
107,161918,никогда,никогда
109,161739,того,того
110,159343,тогда,тогда
111,155644,него,него
112,155085,ни,ни
113,154726,тут,тут
114,154615,были,были
115,154334,конечно,конечно
116,154307,правда,правда
117,153646,об,об
118,146670,моя,моя
119,140855,пожалуйста,пожалуйста
120,139908,тобой,тобой
121,139229,сказать,сказать
122,136912,сегодня,сегодня
123,135623,один,один
124,132478,лучше,лучше
125,131596,можешь,можешь
126,130931,сюда,сюда
127,130107,мной,мной
128,127095,значит,значит
129,126604,сделать,сделать
130,126030,всегда,всегда
131,123228,дело,дело
132,123056,можно,можно
133,123047,ей,ей
134,120950,должны,должны
135,120906,порядке,порядке
136,119843,без,без
137,118088,день,день
138,117709,том,том
139,115292,буду,буду
140,112020,делать,делать
141,111407,хотел,хотел
142,111052,чего,чего
143,109769,эти,эти
144,109541,много,много
145,109028,после,после
146,108025,этим,этим
147,107074,всего,всего
148,106627,во,во
149,105811,твой,твой
150,105636,ним,ним
151,102100,лет,лет
153,101466,них,них
155,100777,ведь,ведь
156,99992,мистер,мистер
